#
# (einstein radius, ellipticity, angle of ellipticity)
#
ASW0002asp; 5EKMWWVJHL; 1.12; 0.00; 88.39
ASW0007k4r; AJIBCHQ6EM; 3.80; 0.15; 52.50
ASW0007xrs; JHC3J2HYV7; 1.04; 0.33; 66.63
ASW0008qsm; TOFS7JNGEK; 0.73; 0.00; 249.80
ASW000619d;     011489; 1.04; 0.32; -5.18
