pixrad,asw,n_models,z_src_used,mid,z_lens_used,user,swid
11,ASW0004dv8,200,0.65,4741,0.25,c_cld,SW01,
,ASW00096rm,,,PQZR2WYE7X,,,SW42,
,ASW0008qsm,,,5WQDNJC7A2,,,SW29,
12,ASW0004dv8,400,2.0,7118,0.28,c_cld,SW01,
,ASW0000101,,,EAVZH67N4M,,,----,
12,ASW0004dv8,300,1.0,7990,0.5,c_cld,SW01,
11,ASW0004dv8,300,1.0,7991,0.4,c_cld,SW01,
12,ASW0004dv8,300,1.0,7993,0.4,c_cld,SW01,
12,ASW0007e08,200,0.8,8009,0.48,c_cld,SW07,
,ASW00008a0,,,XPHGTJUNLN,,,SW50,
,ASW00004k0,,,3YOBKRDJMX,,,----,
,ASW0005ks6,,,T6BCUCNIWC,,,----,
,ASW0009cox,,,67GLBVRIEU,,,----,
,ASW0000h2m,,,IHRULOMX6D,,,----,
,ASW00077jj,,,W6H6BWAUF3,,,----,
,ASW0009ah7,,,UBIIDDDU5N,,,----,
12,ASW00024id,200,1.0,8048,0.5,c_cld,SW45,
11,ASW00024id,200,1.0,8057,0.5,c_cld,SW45,
12,ASW00024id,200,1.0,8058,0.5,c_cld,SW45,
12,ASW00024id,200,1.0,8059,0.5,c_cld,SW45,
12,ASW0002asp,200,1.0,3972,0.5,psaha,SW09,
,ASW00085cp,,,6IU7DLN5GK,,,SW59,
,ASW0008swn,,,BCY2NOUSLK,,,SW06,
,ASW0005rnb,,,AAKHMTYTMS,,,SW17,
,ASW0009ah7,,,JCPVVYJCYG,,,----,
,ASW000096t,,,ZHRZSBEAN5,,,SW36,
,ASW0001c3j,,,5R6UYQZUTI,,,SW43,
,ASW0004m3x,,,HL5TKHE7CT,,,SW21,
,ASW00070vl,,,BPAV4GVOPP,,,SW53,
,ASW0004dv8,,,EUTVAVV6XJ,,,SW01,
,ASW0002bmc,,,JUNOJCOW64,,,SW10,
8,ASW00024id,200,1.0,2026,0.5,psaha,SW45,
,ASW0001lb5,,,PQWLHS63SD,,,----,
8,ASW00024id,200,1.0,2030,0.5,psaha,SW45,
,ASW0000r8n,,,X5D3BBZSIT,,,----,
,ASW00070vl,,,M36RZR4OC4,,,SW53,
