000291,old,ASW00051ld,,jasonjason,7,200,0.5,1.0
000474,old,ASW0002dx7,,jasonjason,8,200,0.5,1.0
000896,old,ASW0002k40,,Capella05,8,200,0.5,1.0
000899,old,ASW0002k40,,Capella05,8,200,0.5,1.0
001447,old,ASW0004dv8,,jasonjason,8,200,0.36,1.03
001750,old,ASW00024id,,Tom Collett,8,200,0.5,1.0
001774,old,ASW00024id,,jasonjason,12,200,0.5,1.0
002026,old,ASW00024id,,psaha,8,200,0.5,1.0
002030,old,ASW00024id,,psaha,8,200,0.5,1.0
002125,old,ASW0004iye,,jasonjason,11,200,0.5,1.0
002131,old,ASW0004iye,,jasonjason,9,200,0.5,1.0
002132,old,ASW0004iye,,jasonjason,9,200,0.5,1.0
002133,old,ASW00024id,,Budgieye,8,200,0.5,1.0
002141,old,ASW0004iye,,jasonjason,9,200,0.5,1.0
002142,old,ASW0004iye,,jasonjason,9,200,0.5,1.0
002248,old,ASW0002asp,,Capella05,8,200,0.5,1.0
002360,old,ASW0004iye,,psaha,8,200,0.5,1.0
002421,old,ASW0002asp,,jon273,8,200,0.5,1.0
002478,old,ASW0003r61,,Capella05,8,200,0.5,1.0
002481,old,ASW0003r61,,jon273,8,200,0.5,1.0
003972,old,ASW0002asp,,psaha,12,200,0.5,1.0
004506,old,ASW0004dv8,,c_cld,8,200,0.5,1.0
004516,old,ASW0004dv8,,Capella05,8,200,0.5,1.0
004531,old,ASW0004dv8,,c_cld,10,200,0.2,0.7
004535,old,ASW0004dv8,,c_cld,11,200,0.2,0.68
004536,old,ASW0004dv8,,c_cld,11,200,0.2,0.68
004538,old,ASW0004dv8,,c_cld,9,200,0.2,0.7
004539,old,ASW0004dv8,,c_cld,9,200,0.2,0.7
004543,old,ASW0004dv8,,c_cld,9,200,0.2,0.6
004544,old,ASW0004dv8,,Budgieye,8,200,0.5,1.0
004550,old,ASW0004dv8,,Budgieye,8,200,0.2,2.0
004552,old,ASW0004dv8,,Budgieye,8,200,0.5,1.0
004553,old,ASW0004dv8,,Budgieye,8,200,0.2,1.0
004554,old,ASW0004dv8,,Budgieye,8,200,0.5,1.0
004560,old,ASW0004dv8,,ElisabethB,8,200,0.5,1.0
004568,old,ASW0004dv8,,Capella05,8,200,0.5,1.0
004570,old,ASW0004dv8,,ElisabethB,8,200,0.5,1.0
004571,old,ASW0004dv8,,Budgieye,8,200,0.2,1.0
004585,old,ASW0004dv8,,Budgieye,8,200,0.5,1.0
004617,old,ASW0004dv8,,Budgieye,8,200,0.5,1.0
004625,old,ASW0004dv8,,Budgieye,8,200,0.5,1.0
004628,old,ASW0004dv8,,c_cld,9,200,0.25,0.65
004648,old,ASW0004dv8,,Capella05,9,200,0.5,1.0
004681,old,ASW0004dv8,,ElisabethB,8,200,0.5,1.0
004686,old,ASW0004dv8,,Capella05,8,200,0.5,1.0
004705,old,ASW0004dv8,,c_cld,11,200,0.25,0.65
004711,old,ASW0004dv8,,ElisabethB,8,200,0.5,1.0
004713,old,ASW0004dv8,,c_cld,11,200,0.25,0.65
004737,old,ASW0004dv8,,Capella05,8,200,0.5,1.0
004741,old,ASW0004dv8,,c_cld,11,200,0.25,0.65
004755,old,ASW0004dv8,,c_cld,11,200,0.25,0.65
004758,old,ASW0004dv8,,ElisabethB,8,200,0.5,1.0
004809,old,ASW0004dv8,,Budgieye,8,200,0.5,1.0
004827,old,ASW0004dv8,,ElisabethB,8,200,0.5,1.0
004836,old,ASW0004dv8,,Budgieye,8,200,0.5,1.0
004849,old,ASW0004dv8,,c_cld,8,200,0.24,1.1
004850,old,ASW0004dv8,,Khalila RedBird,8,200,0.5,1.0
004853,old,ASW0004dv8,,Khalila RedBird,8,200,0.5,1.0
004865,old,ASW0004dv8,,ElisabethB,8,200,0.1,1.0
004870,old,ASW0004dv8,,c_cld,11,200,0.3,1.4
004871,old,ASW0004dv8,,c_cld,11,200,0.5,1.0
004879,old,ASW0004dv8,,c_cld,9,200,0.3,1.2
004902,old,ASW0004dv8,,c_cld,11,200,0.5,1.0
004916,old,ASW0004dv8,,c_cld,10,200,0.3,0.84
004965,old,ASW0004dv8,,c_cld,11,200,0.32,2.0
004979,old,ASW0004dv8,,c_cld,11,200,0.32,2.0
005068,old,ASW0006e0o,,c_cld,8,200,0.5,1.0
005075,old,ASW0006e0o,,c_cld,8,200,0.2,0.8
005088,old,ASW0006e0o,,c_cld,10,200,0.3,0.5
005130,old,ASW0004dv8,,KhalilaRedBird,8,200,0.5,1.0
005237,old,ASW0004dv8,,Capella05,8,200,0.5,1.0
005310,old,ASW0004dv8,,c_cld,12,200,0.3,2.0
005505,old,ASW0004dv8,,ElisabethB,12,200,0.5,1.0
005515,old,ASW0004dv8,,ElisabethB,12,200,0.5,1.0
005520,old,ASW0004dv8,,ElisabethB,12,200,0.5,1.0
