pixrad,asw,n_models,mid,z_src_used,z_lens_used,user,swid
12,ASW0004dv8,200,5310,2.0,0.3,c_cld,SW01,
,ASW00024id,,EL3RTBLAWB,,,C_cld,SW45,
8,ASW0002asp,200,2248,1.0,0.5,Capella05,SW09,
8,ASW0004dv8,200,4809,1.0,0.5,Budgieye,SW01,
,ASW0006mea,,XZDGINWFYY,,,Capella05,SW03,
,ASW0008qsm,,TOFS7JNGEK,,,psaha,SW29,
12,ASW0004dv8,300,9934,1.0,0.5,c_cld,SW01,
12,ASW0004dv8,300,9935,1.0,0.5,c_cld,SW01,
7,ASW00051ld,200,291,1.0,0.5,jasonjason,SW34,
12,ASW0004dv8,400,7118,2.0,0.28,c_cld,SW01,
8,ASW00024id,200,1750,1.0,0.5,Tom Collett,SW45,
8,ASW0004dv8,200,4827,1.0,0.5,ElisabethB,SW01,
12,ASW00024id,200,8058,1.0,0.5,c_cld,SW45,
12,ASW000619d,200,11486,1.0,0.5,Phil,SW02,
12,ASW0004dv8,300,9951,1.0,0.5,c_cld,SW01,
8,ASW000619d,200,11489,1.0,0.5,psaha,SW02,
12,ASW00024id,200,8059,1.0,0.5,c_cld,SW45,
8,ASW0004dv8,200,7185,1.0,0.5,c_cld,SW01,
12,ASW0007t5y,200,8933,1.0,0.5,Capella05,SW55,
8,ASW0004dv8,200,8425,1.0,0.5,ElisabethB,SW01,
11,ASW00024q6,200,12522,1.0,0.5,c_cld,SW46,
12,ASW0004dv8,300,7403,1.0,0.5,c_cld,SW01,
8,ASW0004dv8,200,9964,1.0,0.5,Phil,SW01,
12,ASW0004dv8,300,7405,1.1,0.4,c_cld,SW01,
12,ASW00024id,200,1774,1.0,0.5,jasonjason,SW45,
,ASW0008qsm,,EYVRGDM2OE,,,Capella05,SW29,
8,ASW0004dv8,200,4849,1.1,0.24,c_cld,SW01,
8,ASW0004dv8,200,4850,1.0,0.5,Khalila RedBird,SW01,
8,ASW0006e0o,200,5075,0.8,0.2,c_cld,SW51,
8,ASW0004dv8,200,4560,1.0,0.5,ElisabethB,SW01,
8,ASW0004dv8,200,4853,1.0,0.5,Khalila RedBird,SW01,
11,ASW00024id,200,13560,1.0,0.5,c_cld,SW45,
11,ASW00024id,200,13561,1.0,0.5,c_cld,SW45,
11,ASW00024id,200,13562,1.0,0.5,c_cld,SW45,
12,ASW0004dv8,200,7421,1.0,0.5,Capella05,SW01,
12,ASW0004dv8,300,7422,1.0,0.5,Phil,SW01,
10,ASW0006e0o,200,13055,1.0,0.5,c_cld,SW51,
12,ASW0006e0o,200,13056,1.0,0.5,c_cld,SW51,
8,ASW0004dv8,200,4865,1.0,0.1,ElisabethB,SW01,
,ASW0004wgd,,JQA3OBCT52,,,Capella05,SW35,
11,ASW0004dv8,200,4870,1.4,0.3,c_cld,SW01,
11,ASW0004dv8,200,4871,1.0,0.5,c_cld,SW01,
12,ASW0004dv8,300,7432,0.7,0.4,c_cld,SW01,
10,ASW00047ae,200,12553,1.0,0.5,c_cld,SW13,
12,ASW00047ae,200,12554,1.0,0.5,c_cld,SW13,
9,ASW0004dv8,200,4879,1.2,0.3,c_cld,SW01,
