gls_ver,pixrad,asw,pixscale,swid,n_models,Mtot_ens_ave,mid,z_src_used,z_lens_used,created_on,Mtot_min,Mtot_min_z_corrected,user,Mtot_ens_ave_z_corrected,lmt_ver,z_lens_actual,type,Mtot_max,Mtot_max_z_corrected
-2,9,ASW0004dv8,0.0,SW01,300,7.54986421228e+12,7195,1.0,0.4,2013-08-24 09:22:39,6.88061417942e+12,0.0,c_cld,0.0,0.0.0,0.0,old,8.60549112436e+12,0.0,
5,8,ASW0007sez,0.16456,SW54,200,1.51453525426e+12,EFXNFHZ4I6,1.0,0.5,2015-04-25 07:54:51,1.33506724368e+12,900685384525.0,c_cld,1.0217610943e+12,2.0.0,0.5,new,1.69560225494e+12,1.1439155415e+12,
5,12,ASW0004q9e,0.16456,----,200,345332587317.0,JUVHB6F3Y4,1.0,0.5,2015-05-13 13:26:12,318518445114.0,0.0,c_cld,0.0,2.0.0,0.0,new,369968766417.0,0.0,
5,12,ASW0001hpf,0.16456,----,200,1.06394578754e+12,BLCAAUSI3K,1.0,0.5,2015-07-13 14:12:34,1.01031584402e+12,0.0,L,0.0,2.0.0,0.0,new,1.12560754184e+12,0.0,
5,12,ASW0002b6m,0.16456,----,200,1.56175843228e+12,HGPS5DSN25,1.0,0.5,2015-07-13 13:33:28,1.44512577876e+12,0.0,L,0.0,2.0.0,0.0,new,1.64876005506e+12,0.0,
-1,8,ASW0002asp,0.0,SW09,200,1.20923015088e+12,2248,1.0,0.5,2013-06-27 18:28:51,1.07639512521e+12,1.6739194964e+12,Capella05,1.88049339669e+12,,1.0,old,1.37934919748e+12,2.14504828193e+12,
5,12,ASW0001csb,0.16456,----,200,1.63815178531e+12,SHLVNHUZIY,0.9,0.29,2015-05-05 16:22:26,1.5208872671e+12,1.5208872671e+12,c_cld,1.63815178531e+12,2.0.0,0.0,new,1.77849998365e+12,1.77849998365e+12,
5,12,ASW0008qsm,0.16456,SW29,200,2.63511532395e+12,WJAKT56KO6,1.1,0.7,2015-04-26 14:41:55,2.40765181239e+12,1.60256911803e+12,c_cld,1.75397223921e+12,2.0.0,0.8,new,2.86744203996e+12,1.90861238213e+12,
5,12,ASW00057f5,0.16456,----,200,3.78035080649e+12,5ADKYZHUSF,1.0,0.5,2015-05-14 17:12:41,3.49258037554e+12,0.0,c_cld,0.0,2.0.0,0.0,new,4.0871248825e+12,0.0,
4,8,ASW0004dv8,0.16456,SW01,200,5.312224817e+12,8425,1.0,0.5,2013-09-06 20:29:50,4.72545285771e+12,0.0,ElisabethB,0.0,1.6.3,0.0,old,6.04786689686e+12,0.0,
4,11,ASW00024q6,0.16456,SW46,200,968421890677.0,12522,1.0,0.5,2014-04-29 17:43:31,886300588728.0,597930920965.0,c_cld,653332966647.0,1.6.3,0.5,old,1.04459566484e+12,704722591697.0,
4,12,ASW00024q6,0.16456,SW46,200,890849369292.0,12523,1.0,0.5,2014-04-29 17:46:59,824492439921.0,556232874265.0,c_cld,600999695359.0,1.6.3,0.5,old,975498561403.0,658107148565.0,
5,12,ASW00097xm,0.16456,----,200,761852091185.0,V2MZSHLMEA,0.7,0.19,2015-05-01 15:16:47,705467120604.0,705467120604.0,c_cld,761852091185.0,2.0.0,0.0,new,843540669256.0,843540669256.0,
5,12,ASW0008qab,0.16456,----,200,516892325911.0,ZP5QWWXGZ7,1.0,0.5,2015-07-21 21:15:31,478367269325.0,0.0,c_cld,0.0,2.0.0,0.0,new,555983989458.0,0.0,
5,11,ASW0005mp6,0.16456,----,200,1.16200525532e+12,ZNFGQ4BAV5,1.0,0.5,2015-04-24 16:46:04,1.05808593941e+12,0.0,c_cld,0.0,2.0.0,0.0,new,1.24317556164e+12,0.0,
5,12,ASW0005ire,0.16456,----,200,716006831720.0,EYJE7GOAL7,1.1,0.44,2015-05-03 14:29:31,669439479870.0,669439479870.0,c_cld,716006831720.0,2.0.0,0.0,new,774102285535.0,774102285535.0,
5,10,ASW0000g95,0.16456,SW48,200,2.27328118061e+12,XF5TQSXZDQ,1.0,0.5,2015-04-25 19:04:01,2.06308459686e+12,0.0,Capella05,0.0,2.0.0,0.0,new,2.49928890827e+12,0.0,
4,10,ASW00047ae,0.16456,SW13,200,1.29533027216e+12,12553,1.0,0.5,2014-05-02 15:18:19,1.1595914169e+12,624440970154.0,c_cld,697536459854.0,1.6.3,0.4,old,1.45066164082e+12,781182534782.0,
4,12,ASW00047ae,0.16456,SW13,200,1.09966729164e+12,12554,1.0,0.5,2014-05-02 15:19:57,1.0182262729e+12,548315719159.0,c_cld,592171777435.0,1.6.3,0.4,old,1.17295268213e+12,631636022915.0,
5,8,ASW0001hpf,0.16456,----,200,1.81530384399e+12,RSSPANLJCS,1.0,0.5,2015-07-14 09:09:10,1.65495460338e+12,0.0,L,0.0,2.0.0,0.0,new,1.95068664705e+12,0.0,
5,12,ASW0000w54,0.16456,----,200,1.4289899987e+12,OHLGINNP6B,1.0,0.5,2015-07-13 14:14:28,1.33731014947e+12,0.0,L,0.0,2.0.0,0.0,new,1.52505392213e+12,0.0,
5,12,ASW00071fc,0.16456,----,200,4.20583866213e+12,KOPRXCDBSK,1.0,0.33,2015-05-03 17:01:24,3.863955223e+12,0.0,c_cld,0.0,2.0.0,0.0,new,4.51243522701e+12,0.0,
-1,7,ASW00051ld,0.0,SW34,200,1.29825087841e+12,291,1.0,0.5,2013-06-05 03:15:17,1.11929421681e+12,755116977691.0,jasonjason,875847712668.0,,0.5,old,1.53196606808e+12,1.03352056133e+12,
5,8,ASW0005rnb,0.16456,SW17,200,1.35578422251e+12,FSICQP47IP,1.0,0.5,2015-04-27 18:58:45,1.15890220863e+12,1.12712559246e+12,ElisabethB,1.31860918347e+12,2.0.0,0.7,new,1.52621093724e+12,1.48436286862e+12,
-2,12,ASW0006a07,0.0,SW52,200,1.12607715557e+12,6437,0.76,0.38,2013-08-14 18:52:27,1.08449785504e+12,1.08449785504e+12,c_cld,1.12607715557e+12,0.0.0,0.0,old,1.17490583948e+12,1.17490583948e+12,
5,11,ASW0004m3x,0.16456,SW21,200,650066240533.0,QZROE23AUH,1.0,0.57,2015-04-27 08:27:26,598307234050.0,317704035447.0,c_cld,345188318260.0,2.0.0,0.5,new,690450028025.0,366632304765.0,
5,12,ASW0004nan,0.16456,SW15,200,1.05281556852e+12,QUOGDU2NN6,1.0,0.5,2015-07-15 10:19:47,995122932928.0,404342408552.0,L,427784315535.0,2.0.0,0.3,new,1.11427140183e+12,452755300364.0,
5,10,ASW00096rm,0.16456,SW42,200,1.06239056048e+12,GVYUDXDXLB,1.0,0.5,2015-06-11 13:05:39,955968233093.0,134569753948.0,psaha,149550614101.0,2.0.0,0.1,new,1.14697383626e+12,161457234233.0,
5,8,ASW00096rm,0.16456,SW42,200,1.49971877275e+12,4Q3YCEWGLN,1.0,0.5,2015-09-14 12:57:07,1.34118365047e+12,188795764958.0,rkueng,211112439989.0,2.0.0,0.1,new,1.68797427858e+12,237612794521.0,
5,11,ASW00018yo,0.16456,----,200,1.63347198816e+12,6VSOB22KVS,0.8,0.4,2015-05-20 16:46:41,1.5168679093e+12,1.5168679093e+12,c_cld,1.63347198816e+12,2.0.0,0.0,new,1.76048226322e+12,1.76048226322e+12,
5,12,ASW00047ae,0.16456,SW13,200,1.73246192978e+12,TGTIIF7HCV,1.0,0.5,2015-07-16 08:46:45,1.64337833407e+12,884960638985.0,L,932932231498.0,2.0.0,0.4,new,1.82912836677e+12,984987190522.0,
-1,8,ASW0004iye,0.0,SW32,200,6.73908171935e+12,2360,1.0,0.5,2013-06-28 18:29:10,6.02845497911e+12,0.0,psaha,0.0,,0.0,old,7.71887794229e+12,0.0,
5,12,ASW0007t5y,0.16456,SW55,200,1.26600582363e+12,5I4UW73M73,1.0,0.5,2015-04-30 11:53:26,1.18664973893e+12,0.0,c_cld,0.0,2.0.0,0.0,new,1.37291005846e+12,0.0,
5,12,ASW0008wmr,0.16456,SW40,200,1.30516927665e+12,HJ2STCIBPO,1.0,0.5,2015-07-16 08:57:11,1.21205949081e+12,0.0,L,0.0,2.0.0,0.0,new,1.38207061107e+12,0.0,
5,11,ASW00021r0,0.16456,SW31,200,8.91872824767e+12,2CZ5QU37NJ,1.0,0.5,2015-04-25 10:44:29,8.32222729948e+12,8.09403529101e+12,Capella)5,8.67418043148e+12,2.0.0,0.7,new,9.44394520304e+12,9.18499615656e+12,
5,8,ASW0004xjk,0.16456,SW14,200,1.23777773219e+12,7DXF6FTP44,1.0,0.5,2015-04-27 17:37:52,1.09540397407e+12,0.0,ElisabethB,0.0,2.0.0,0.0,new,1.42516372592e+12,0.0,
-2,12,ASW0004dv8,0.0,SW01,200,3.54334921983e+12,6479,1.0,0.5,2013-08-14 20:27:42,3.35652589857e+12,0.0,ElisabethB,0.0,0.0.0,0.0,old,3.78415103876e+12,0.0,
5,12,ASW0002e7v,0.16456,----,200,1.06318299896e+12,4RPELREDGW,1.0,0.5,2015-05-01 19:46:49,981816202595.0,0.0,c_cld,0.0,2.0.0,0.0,new,1.13737146111e+12,0.0,
5,11,ASW00018yo,0.16456,----,200,1.91242401097e+12,EPUBP5TBEH,0.7,0.4,2015-05-20 16:39:41,1.73522481149e+12,1.73522481149e+12,c_cld,1.91242401097e+12,2.0.0,0.0,new,2.06965453708e+12,2.06965453708e+12,
-2,8,ASW0004dv8,0.0,SW01,200,6.47370306649e+12,4836,1.0,0.5,2013-08-04 21:31:26,5.79719426742e+12,0.0,Budgieye,0.0,0.0.0,0.0,old,7.26832512116e+12,0.0,
