mid,type,asw,paperid,user,pixrad,nmodels,z_lens_used,z_src_used,m<R,glsv,lmtv,pxscale,z_lens_real,z_src_real,corrected_mass
004741,old,ASW0004dv8,SW01,c_cld,11,200,0.25,0.65,2.66216779971e+12,2,0.0.0,,0.0,3.0,0
004755,old,ASW0004dv8,SW01,c_cld,11,200,0.25,0.65,2.6666162767e+12,2,0.0.0,,0.0,3.0,0
004758,old,ASW0004dv8,SW01,ElisabethB,8,200,0.5,1.0,6.39011505258e+12,2,0.0.0,,0.0,3.0,0
004809,old,ASW0004dv8,SW01,Budgieye,8,200,0.5,1.0,6.41120540999e+12,2,0.0.0,,0.0,3.0,0
004827,old,ASW0004dv8,SW01,ElisabethB,8,200,0.5,1.0,6.4363363468e+12,2,0.0.0,,0.0,3.0,0
004836,old,ASW0004dv8,SW01,Budgieye,8,200,0.5,1.0,6.47370306649e+12,2,0.0.0,,0.0,3.0,0
004849,old,ASW0004dv8,SW01,c_cld,8,200,0.24,1.1,3.35721333284e+12,2,0.0.0,,0.0,3.0,0
004850,old,ASW0004dv8,SW01,Khalila RedBird,8,200,0.5,1.0,7.00923263478e+12,2,0.0.0,,0.0,3.0,0
004853,old,ASW0004dv8,SW01,Khalila RedBird,8,200,0.5,1.0,6.83571292271e+12,2,0.0.0,,0.0,3.0,0
004865,old,ASW0004dv8,SW01,ElisabethB,8,200,0.1,1.0,1.27957412617e+12,2,0.0.0,,0.0,3.0,0
004870,old,ASW0004dv8,SW01,c_cld,11,200,0.3,1.4,2.40140788829e+12,2,0.0.0,,0.0,3.0,0
004871,old,ASW0004dv8,SW01,c_cld,11,200,0.5,1.0,5.49057486381e+12,2,0.0.0,,0.0,3.0,0
004879,old,ASW0004dv8,SW01,c_cld,9,200,0.3,1.2,3.15696015697e+12,2,0.0.0,,0.0,3.0,0
004902,old,ASW0004dv8,SW01,c_cld,11,200,0.5,1.0,5.43054307813e+12,2,0.0.0,,0.0,3.0,0
004916,old,ASW0004dv8,SW01,c_cld,10,200,0.3,0.84,3.10047078568e+12,2,0.0.0,,0.0,3.0,0
004965,old,ASW0004dv8,SW01,c_cld,11,200,0.32,2.0,2.35532345744e+12,2,0.0.0,,0.0,3.0,0
004979,old,ASW0004dv8,SW01,c_cld,11,200,0.32,2.0,2.35111873999e+12,2,0.0.0,,0.0,3.0,0
005068,old,ASW0006e0o,SW51,c_cld,8,200,0.5,1.0,0.0,2,0.0.0,,0.0,1.3,0
005075,old,ASW0006e0o,SW51,c_cld,8,200,0.2,0.8,2.34196071831e+12,2,0.0.0,,0.0,1.3,0
005088,old,ASW0006e0o,SW51,c_cld,10,200,0.3,0.5,4.7719968883e+12,2,0.0.0,,0.0,1.3,0
005130,old,ASW0004dv8,SW01,KhalilaRedBird,8,200,0.5,1.0,6.59096135517e+12,2,0.0.0,,0.0,3.0,0
005237,old,ASW0004dv8,SW01,Capella05,8,200,0.5,1.0,7.42006215089e+12,2,0.0.0,,0.0,3.0,0
005310,old,ASW0004dv8,SW01,c_cld,12,200,0.3,2.0,2.04403579201e+12,2,0.0.0,,0.0,3.0,0
005505,old,ASW0004dv8,SW01,ElisabethB,12,200,0.5,1.0,6.62966097264e+12,2,0.0.0,,0.0,3.0,0
005515,old,ASW0004dv8,SW01,ElisabethB,12,200,0.5,1.0,6.15972939132e+12,2,0.0.0,,0.0,3.0,0
005520,old,ASW0004dv8,SW01,ElisabethB,12,200,0.5,1.0,6.28254563397e+12,2,0.0.0,,0.0,3.0,0
005523,old,ASW0004dv8,SW01,ElisabethB,12,200,0.5,1.0,8.14621856464e+12,2,0.0.0,,0.0,3.0,0
005527,old,ASW0004dv8,SW01,ElisabethB,12,200,0.5,1.0,5.98327021639e+12,2,0.0.0,,0.0,3.0,0
005529,old,ASW0004dv8,SW01,ElisabethB,12,200,0.5,1.0,6.4483978321e+12,2,0.0.0,,0.0,3.0,0
005593,old,ASW0004dv8,SW01,Capella05,12,200,0.5,1.0,4.55788863917e+12,2,0.0.0,,0.0,3.0,0
005594,old,ASW0004dv8,SW01,Capella05,12,200,0.5,1.0,4.44812258752e+12,2,0.0.0,,0.0,3.0,0
005653,old,ASW0004dv8,SW01,ElisabethB,12,200,0.5,1.0,7.82179545687e+12,2,0.0.0,,0.0,3.0,0
005811,old,ASW0004dv8,SW01,c_cld,12,200,0.36,1.1,2.61319820997e+12,2,0.0.0,,0.0,3.0,0
006437,old,ASW0006a07,SW52,c_cld,12,200,0.38,0.76,1.12607715557e+12,2,0.0.0,,0.0,1.3,0
006479,old,ASW0004dv8,SW01,ElisabethB,12,200,0.5,1.0,3.54334921983e+12,2,0.0.0,,0.0,3.0,0
006691,old,ASW0004dv8,SW01,jasonjason,8,200,0.5,1.0,7.54555161713e+12,2,0.0.0,,0.0,3.0,0
006694,old,ASW0004dv8,SW01,jasonjason,11,200,0.5,1.0,4.01202782398e+12,2,0.0.0,,0.0,3.0,0
006696,old,ASW0004dv8,SW01,jasonjason,11,200,0.5,1.0,4.13566694757e+12,2,0.0.0,,0.0,3.0,0
006709,old,ASW0004iye,SW32,c_cld,12,200,0.3,0.9,1.54286440786e+12,2,0.0.0,,0.0,1.7,0
006767,old,ASW00047ae,SW13,c_cld,8,200,0.5,1.0,1.70961013666e+12,2,0.0.0,,0.4,2.3,920626521348.0
006771,old,ASW00047ae,SW13,c_cld,8,200,0.5,1.0,1.83676247679e+12,2,0.0.0,,0.4,2.3,989098165302.0
006784,old,ASW00047ae,SW13,c_cld,10,200,0.5,0.9,2.45423636867e+12,2,0.0.0,,0.4,2.3,1.17701116697e+12
006789,old,ASW00047ae,SW13,c_cld,11,200,0.5,0.9,1.94757561229e+12,2,0.0.0,,0.4,2.3,934025048867.0
006790,old,ASW00047ae,SW13,c_cld,12,200,0.5,0.9,1.77744570717e+12,2,0.0.0,,0.4,2.3,852433560482.0
006792,old,ASW00047ae,SW13,c_cld,11,200,0.5,0.9,1.91744914082e+12,2,0.0.0,,0.4,2.3,919576891472.0
007040,old,ASW0004dv8,SW01,c_cld,12,300,0.25,0.7,1.62087465842e+12,2,0.0.0,,0.0,3.0,0
007081,old,ASW0004dv8,SW01,Budgieye,12,200,0.5,1.0,4.33817661254e+12,2,0.0.0,,0.0,3.0,0
007084,old,ASW0004dv8,SW01,Budgieye,8,200,0.5,1.0,2.65559886107e+13,2,0.0.0,,0.0,3.0,0
007118,old,ASW0004dv8,SW01,c_cld,12,400,0.28,2.0,1.34216934204e+12,2,0.0.0,,0.0,3.0,0
007185,old,ASW0004dv8,SW01,c_cld,8,200,0.5,1.0,956367801094.0,2,0.0.0,,0.0,3.0,0
007189,old,ASW0004dv8,SW01,test,8,200,0.3,2.0,2.77887720189e+12,2,0.0.0,,0.0,3.0,0
007193,old,ASW0004dv8,SW01,c_cld,12,300,0.4,1.0,5.58186791649e+12,2,0.0.0,,0.0,3.0,0
007195,old,ASW0004dv8,SW01,c_cld,9,300,0.4,1.0,7.54986421228e+12,2,0.0.0,,0.0,3.0,0
007200,old,ASW0004dv8,SW01,c_cld,12,300,0.4,1.0,5.53697210388e+12,2,0.0.0,,0.0,3.0,0
007202,old,ASW0004dv8,SW01,c_cld,12,300,0.4,1.8,4.28431716691e+12,2,0.0.0,,0.0,3.0,0
007242,old,ASW0004dv8,SW01,c_cld,12,300,0.4,1.1,5.21607190342e+12,3,1.6.1,0.16456,0.0,3.0,0
007258,old,ASW0004dv8,SW01,c_cld,12,300,0.4,1.1,5.24356412503e+12,3,1.6.1,0.16456,0.0,3.0,0
007261,old,ASW0004dv8,SW01,jasonjason,12,300,0.5,1.0,4.31206315685e+12,3,1.6.1,0.16456,0.0,3.0,0
007334,old,ASW0004dv8,SW01,psaha,12,300,0.5,1.0,4.82772335403e+12,3,1.6.1,0.16456,0.0,3.0,0
007335,old,ASW0004dv8,SW01,Capella05,12,200,0.5,1.0,4.3442011161e+12,3,1.6.1,0.16456,0.0,3.0,0
007350,old,ASW0004dv8,SW01,Capella05,12,200,0.5,1.0,3.76190649965e+12,3,1.6.1,0.16456,0.0,3.0,0
007403,old,ASW0004dv8,SW01,c_cld,12,300,0.5,1.0,7.95579353779e+12,3,1.6.1,0.16456,0.0,3.0,0
007405,old,ASW0004dv8,SW01,c_cld,12,300,0.4,1.1,5.3569854725e+12,3,1.6.1,0.16456,0.0,3.0,0
007421,old,ASW0004dv8,SW01,Capella05,12,200,0.5,1.0,3.76396053852e+12,3,1.6.1,0.16456,0.0,3.0,0
007422,old,ASW0004dv8,SW01,Phil,12,300,0.5,1.0,5.04730287003e+12,3,1.6.1,0.16456,0.0,3.0,0
007432,old,ASW0004dv8,SW01,c_cld,12,300,0.4,0.7,4.98628142787e+12,3,1.6.1,0.16456,0.0,3.0,0
007459,old,ASW0004dv8,SW01,c_cld,12,300,0.4,0.7,5.09754023226e+12,3,1.6.1,0.16456,0.0,3.0,0
007479,old,ASW0004dv8,SW01,ElisabethB,12,300,0.5,1.0,5.10184496529e+12,3,1.6.1,0.16456,0.0,3.0,0
007820,old,ASW0004dv8,SW01,c_cld,12,300,0.5,1.0,5.15144621712e+12,3,1.6.1,0.16456,0.0,3.0,0
007957,old,ASW0007e08,SW07,c_cld,8,200,0.5,1.0,3.94206440322e+13,3,1.6.1,0.16456,0.0,2.7,0
007959,old,ASW0007e08,SW07,c_cld,12,200,0.5,1.2,2.68368034353e+13,3,1.6.1,0.16456,0.0,2.7,0
007961,old,ASW0007e08,SW07,c_cld,12,200,0.5,1.2,2.76858621231e+13,3,1.6.1,0.16456,0.0,2.7,0
007990,old,ASW0004dv8,SW01,c_cld,12,300,0.5,1.0,4.56581059692e+12,3,1.6.1,0.16456,0.0,3.0,0
007991,old,ASW0004dv8,SW01,c_cld,11,300,0.4,1.0,3.43430604339e+12,3,1.6.1,0.16456,0.0,3.0,0
007993,old,ASW0004dv8,SW01,c_cld,12,300,0.4,1.0,3.23373613889e+12,3,1.6.1,0.16456,0.0,3.0,0
008009,old,ASW0007e08,SW07,c_cld,12,200,0.48,0.8,3.73316485783e+13,3,1.6.1,0.16456,0.0,2.7,0
008048,old,ASW00024id,SW45,c_cld,12,200,0.5,1.0,3.15204428333e+12,3,1.6.1,0.16456,0.8,1.3,3.60185524925e+12
008057,old,ASW00024id,SW45,c_cld,11,200,0.5,1.0,3.22543355191e+12,3,1.6.1,0.16456,0.8,1.3,3.68571749816e+12
008058,old,ASW00024id,SW45,c_cld,12,200,0.5,1.0,2.91491570994e+12,3,1.6.1,0.16456,0.8,1.3,3.33088735665e+12
008059,old,ASW00024id,SW45,c_cld,12,200,0.5,1.0,2.89812704248e+12,3,1.6.1,0.16456,0.8,1.3,3.31170287046e+12
008425,old,ASW0004dv8,SW01,ElisabethB,8,200,0.5,1.0,5.312224817e+12,4,1.6.3,0.16456,0.0,3.0,0
008879,old,ASW0007t5y,SW55,c_cld,10,200,0.5,1.0,1.28093934472e+12,4,1.6.3,0.16456,0.0,1.3,0
008881,old,ASW0007t5y,SW55,c_cld,12,200,0.5,1.0,1.50335553646e+12,4,1.6.3,0.16456,0.0,1.3,0
008884,old,ASW0007k4r,SW05,c_cld,12,200,0.5,1.0,1.33741415053e+13,4,1.6.3,0.16456,0.6,2.7,1.09410431992e+13
008885,old,ASW0007k4r,SW05,c_cld,12,200,0.5,1.0,1.27268296206e+13,4,1.6.3,0.16456,0.6,2.7,1.04114938977e+13
