mid,type,asw,paperid,user,pixrad,nmodels,z_lens_used,z_src_used,m<R,glsv,lmtv,pxscale,z_lens_real,z_src_real,corrected_mass
013217,old,ASW0006jh5,SW27,c_cld,11,200,0.5,1.0,440534684700.0,4,1.6.3,0.16456,0.7,2.0,428455407015.0
013218,old,ASW0006jh5,SW27,c_cld,12,200,0.5,1.0,407880969435.0,4,1.6.3,0.16456,0.7,2.0,396697043031.0
013248,old,ASW0001c3j,SW43,c_cld,9,200,0.5,1.0,2.40106331144e+12,4,1.6.3,0.16456,1.0,1.3,3.73393245192e+12
013251,old,ASW0001c3j,SW43,c_cld,11,200,0.5,1.0,1.905681855e+12,4,1.6.3,0.16456,1.0,1.3,2.96355672403e+12
013252,old,ASW0001c3j,SW43,c_cld,12,200,0.5,1.0,1.77097531637e+12,4,1.6.3,0.16456,1.0,1.3,2.7540724036e+12
013266,old,ASW0002qtn,SW11,c_cld,11,200,0.5,1.0,604412835633.0,4,1.6.3,0.16456,0.8,2.3,690665279117.0
013267,old,ASW0002qtn,SW11,c_cld,12,200,0.5,1.0,563534339734.0,4,1.6.3,0.16456,0.8,2.3,643953237089.0
013273,old,ASW0002dx7,SW20,c_cld,11,200,0.5,1.0,2.12332974326e+12,4,1.6.3,0.16456,0.3,2.0,862760000934.0
013274,old,ASW0002dx7,SW20,c_cld,12,200,0.5,1.0,1.98888264303e+12,4,1.6.3,0.16456,0.3,2.0,808130906846.0
013397,old,ASW0001ld7,SW19,c_cld,12,200,0.5,1.0,357868201663.0,4,1.6.3,0.16456,0.2,2.0,98372066173.8
013406,old,ASW00050sk,SW24,c_cld,11,200,0.5,1.0,679376534780.0,4,1.6.3,0.16456,0.7,2.0,660748312983.0
013410,old,ASW0004nan,SW15,c_cld,11,200,0.5,1.0,798408795761.0,4,1.6.3,0.16456,0.3,2.3,324412718073.0
013421,old,ASW0009bp2,SW16,c_cld,12,200,0.5,1.0,2.23321682592e+12,4,1.6.3,0.16456,0.4,2.3,1.20258917152e+12
013427,old,ASW0006jh5,SW27,c_cld,10,200,0.5,1.0,685751558894.0,4,1.6.3,0.16456,0.7,2.0,666948536589.0
013428,old,ASW0006jh5,SW27,c_cld,12,200,0.5,1.0,573034156547.0,4,1.6.3,0.16456,0.7,2.0,557321798496.0
013445,old,ASW0008wmr,SW40,psrk,8,200,0.5,1.0,1.68030116123e+12,4,1.6.3,0.16456,0.0,1.7,0
013448,old,ASW0008wmr,SW40,psrk,8,200,0.5,1.0,1.69122357814e+12,4,1.6.3,0.16456,0.0,1.7,0
013557,old,ASW00024id,SW45,c_cld,10,200,0.5,1.0,3.92430328011e+12,4,1.6.3,0.16456,0.8,1.3,4.48431909534e+12
013560,old,ASW00024id,SW45,c_cld,11,200,0.5,1.0,3.80027260357e+12,4,1.6.3,0.16456,0.8,1.3,4.34258868066e+12
013561,old,ASW00024id,SW45,c_cld,11,200,0.5,1.0,3.57978568658e+12,4,1.6.3,0.16456,0.8,1.3,4.09063728406e+12
013562,old,ASW00024id,SW45,c_cld,11,200,0.5,1.0,3.64573266709e+12,4,1.6.3,0.16456,0.8,1.3,4.16599519675e+12
013589,old,ASW0006a07,SW52,c_cld,12,200,0.6,1.1,1.92556632682e+12,4,1.6.3,0.16456,0.0,1.3,0
013599,old,ASW00024id,SW45,c_cld,10,200,0.66,1.3,2.68652566145e+12,4,1.6.3,0.16456,0.8,1.3,2.50221457562e+12
013600,old,ASW00024id,SW45,c_cld,12,200,0.66,1.3,2.35964589189e+12,4,1.6.3,0.16456,0.8,1.3,2.19776063513e+12
013606,old,ASW00024id,SW45,c_cld,11,200,0.63,1.1,2.65741816156e+12,4,1.6.3,0.16456,0.8,1.3,2.2206895317e+12
013611,old,ASW00024id,SW45,c_cld,10,200,0.63,1.1,2.93629708291e+12,4,1.6.3,0.16456,0.8,1.3,2.45373659603e+12
013614,old,ASW00024id,SW45,c_cld,9,200,0.63,1.1,3.42138278615e+12,4,1.6.3,0.16456,0.8,1.3,2.85910175789e+12
013615,old,ASW00024id,SW45,c_cld,9,200,0.63,1.1,3.58907535558e+12,4,1.6.3,0.16456,0.8,1.3,2.99923519223e+12
